Category: Food & Drink
TOP
pizza,100
food,54
restaurants,52
cheese,40
hannaford,38
dunkin,20
ice cream,18
food near me,17
mcdonald's,16
restaurants near me,15
shaws,12
mcdonalds,11
subway,11
dunkin donuts,11
dominos,10
olive garden,9
taco bell,9
starbucks,9
pizza hut,9
walmart,9
dairy queen,8
chipotle,8
pat's pizza,7
chick fil a,7
pizza near me,7

RISING
celebrating chilaquiles,"+2,500%"
smokey's bbq,+800%
little caesars near me,+450%
urban pizza,+400%
applebees near me,+250%
wonka,+250%
owala water bottle,+250%
jersey mike's near me,+190%
connections,+190%
jack's grocery,+90%
lovely mimi youtube,+80%
the travelin lobster,+80%
clark point cafe,+80%
blaze pizza,+70%
chipotle near me,+70%
jasons pizza,+60%
aldi,+50%
mother's kitchen,+50%
jones lobster,+50%
amir tsarfati telegram,+50%
george's banana stand,+50%
papa johns bangor,+40%
momos cheesecake,+40%

