Category: Hobbies & Leisure
TOP
dog,100
cat,53
dogs,43
christmas,42
cats,25
maine lottery,22
maine state lottery,15
flowers,13
chat gpt,13
powerball,13
moose,12
camera,11
walmart,11
snake,11
halloween,10
google,10
amazon,10
mega millions,9
kayak,9
youtube,8
facebook,8
megabucks,8
weather,8
peacock,8
powerball numbers,8

RISING
infinite craft,Breakout
baby reindeer,Breakout
father's day 2024,"+4,400%"
dos gatos,"+3,850%"
nowruz,"+2,800%"
helldivers 2,"+2,450%"
gale warning,"+1,950%"
strands game,"+1,550%"
thanksgiving 2024,"+1,400%"
sailing olympics,"+1,350%"
mother's day 2024,"+1,200%"
cats drop,"+1,200%"
maine hunting seasons 2024,"+1,050%"
ych commishes,"+1,000%"
tour de france 2024,+900%
memorial day 2024,+850%
labor day 2024,+800%
equestrian paralympics 2024 2024,+650%
groundhog day 2024,+550%
shop holiday gift sets,+500%
easter 2024,+350%
shannen doherty,+300%
damsel,+300%
northeast collectibles,+250%
us trotting,+250%

