Category: Shopping
TOP
amazon,100
walmart,74
shoes,29
ebay,22
netflix,16
versant power,14
white,13
nike,13
target,12
lego,11
xbox,11
tractor supply,11
etsy,10
walmart bangor,9
sam's club,8
old navy,8
sams,8
best buy,8
flowers,8
google,7
camera,7
canva,7
jcpenney,7
kohls,6
carhartt,6

RISING
flat white,+600%
jellycat,+200%
poppy playtime,+200%
chumba,+130%
tuffy bear,+110%
northeast collectibles,+100%
fortnite shop,+90%
mother's day,+70%
quince,+70%
books a million bangor,+60%
bitcoin price,+60%
tractor supply ellsworth maine,+60%
canva,+60%
jeremy allen white,+50%
dicks sporting goods,+50%
tj maxx near me,+50%
yankees,+50%
wal mart,+40%
webstaurant,+40%
google lens,+40%
game stop,+40%

