Category: Beauty & Fitness
TOP
nails,100
perfume,60
face,56
yoga,53
sephora,44
gym,32
ulta,30
hair salon,27
bath and body,23
pilates,21
dior,21
nail salon,21
louis vuitton,20
cologne,20
bath and body works,19
braids,19
planet fitness,19
moisturizer,19
amazon,18
chanel,14
skin care,13
ysl,13
fashion nova,12
google,12
treadmill,10

RISING
ipl 2024,Breakout
longlegs,"+4,200%"
bathhouse flatiron,"+2,350%"
shop fenty lipstick on sale,"+1,500%"
the regime,+850%
ingrid andress,+850%
the zone of interest,+700%
long legs,+600%
paige bueckers,+500%
connections,+450%
blowout taper,+400%
low taper fade,+300%
jean paul gaultier,+250%
karl anthony towns,+200%
preen,+180%
trump,+170%
taper fade,+150%
boho braids,+150%
somatic,+140%
miu miu,+130%
valentino cologne,+120%
gyaru,+120%
adriana lima,+110%
russian manicure,+110%
azzaro most wanted,+100%

