Category: Food & Drink
TOP
pizza,100
food,98
chicken,94
restaurants,62
food near me,36
chocolate,34
bread,31
sushi,28
starbucks,21
ice cream,21
chinese food,18
mcdonald's,17
dunkin,16
fruit,16
restaurants near me,16
chipotle,14
wegmans,13
dominos,12
pizza near me,11
taco bell,10
chinese food near me,10
mcdonalds,10
trader joe's,9
stop and shop,9
honey,9

RISING
celebrating chilaquiles,"+2,550%"
baltimore bridge,"+1,850%"
jill stein,+750%
wonka,+400%
connections,+350%
owala water bottle,+300%
pizza edition,+150%
crumbl,+90%
dave's hot chicken,+90%
the pizza edition,+80%
daves hot chicken,+80%
wingstop,+80%
wingstop near me,+80%
smash burger,+70%
crumbl cookies,+60%
brandy melville,+50%
mets,+50%
wing stop,+50%
jelly roll,+40%
telegram web,+40%
troye sivan,+40%

