Category: Food & Drink
TOP
pizza,100
food,72
restaurants,67
recipes,59
hannaford,45
food near me,30
cookies,22
ice cream,21
restaurants near me,19
dunkin,19
house of pizza,18
dominos,17
shaws,15
mcdonald's,15
starbucks,13
market basket,12
dunkin donuts,11
subway,10
mcdonalds,9
chipotle,9
taco bell,7
pizza near me,7
walmart,7
dairy queen,6
applebee's,6

RISING
baltimore bridge,"+2,550%"
celebrating chilaquiles,"+1,100%"
wonka,+300%
zu bakery,+300%
the pizza edition,+200%
connections,+200%
owala water bottle,+180%
chick fil a near me,+100%
terlingua portland,+80%
norimoto bakery,+70%
sunrise bagel,+70%
crumbl cookies maine,+70%
bread and friends,+70%
taj indian,+60%
chatgpt,+50%
arundel house of pizza,+40%

