Category: Hobbies & Leisure
TOP
dog,100
cat,52
christmas,42
dogs,42
cats,25
maine lottery,24
flowers,15
powerball,14
maine state lottery,13
chat gpt,13
camera,12
mega millions,10
google,10
amazon,10
kayak,10
snake,9
peacock,9
walmart,8
petco,7
facebook,7
bowling,7
easter,7
thanksgiving,7
weather,7
youtube,7

RISING
infinite craft,Breakout
mother's day 2024,Breakout
helldivers 2,Breakout
sailing olympics,Breakout
baby reindeer,"+4,800%"
beach to beacon 2024,"+2,200%"
father's day 2024,"+1,850%"
tour de france 2024,"+1,600%"
easter 2025,"+1,550%"
golden bachelorette,"+1,550%"
gale warning,"+1,300%"
dragon boat festival,"+1,100%"
thanksgiving 2024,"+1,050%"
met gala 2024,"+1,000%"
empire comedy club,+850%
nowruz,+800%
memorial day 2024,+700%
veterans day 2024,+700%
iron claw,+700%
columbus day 2024,+700%
rosh hashanah 2024,+600%
passover 2024,+500%
chinese new year 2024,+500%
st patrick's day 2024,+500%
labor day 2024,+500%

