Category: Food & Drink
TOP
pizza,100
food,40
hannaford,33
mcdonald's,30
pizza hut,26
dominos,25
dunkin,24
subway,23
jade palace,19
tim hortons,17
big cheese pizza,15
mcdonalds,15
walmart,15
taco bell,14
mai tai,13
pat's pizza,13
napa,12
dunkin donuts,12
kfc,11
pat's pizza presque isle,10
restaurants near me,9
domino's,9
taste of china,9
ruby tuesday,9
shop n save,9

RISING
ihop,Breakout
maple pig presque isle,Breakout
my hannaford rewards,Breakout
celebrating chilaquiles,"+3,850%"
creative cakes,"+3,650%"
corn chowder recipe,"+3,500%"
shepherd's pie with corn,"+2,350%"
hidden spring winery,"+2,150%"
hannaford near me,"+1,150%"
kolache,+500%
taco bell near me,+400%
chive,+250%
bradleys,+250%
salted butter farm,+250%
wonka,+250%
owala water bottle,+250%
market pizza houlton maine,+200%
jeffs pizza,+170%
easy dinner ideas,+160%
pat's pizza presque isle,+160%
pat's pizza,+110%
ferris bbq,+60%
burger boy,+60%
market pizza,+50%

