Category: Beauty & Fitness
TOP
hair,100
tattoo,31
nails,29
perfume,23
ulta,16
face,16
bath and body,12
haircut,11
sephora,11
bath and body works,10
cologne,10
hairstyles,8
louis vuitton,7
braids,7
dior,6
planet fitness,6
nail salon,6
hair salon,6
pilates,5
amazon,5
walmart,5
great clips,4
ipl,4
deodorant,4
chanel,4

RISING
ipl 2024,Breakout
longlegs,Breakout
shop fenty lipstick on sale,"+1,700%"
johnson fitness & we,"+1,400%"
ingrid andress,+900%
paige bueckers,+600%
miss universe 2024,+550%
long legs,+550%
sydney mclaughlin-levrone,+500%
jean paul gaultier,+400%
blowout taper,+350%
jean paul cologne,+350%
jean paul gaultier le male,+350%
jean paul gaultier cologne,+300%
kaos,+300%
eos lotion,+200%
valentino cologne,+140%
summer fridays lip balm,+140%
gyaru,+130%
eos fitness,+130%
low taper fade,+130%
low taper,+120%
karl anthony towns,+110%
boho braids,+110%
bubble skincare,+90%

