Category: Shopping
TOP
amazon,100
walmart,78
shoes,64
black,49
nike,31
white,30
target,27
netflix,23
costco,20
mall,19
best buy,17
lego,16
sams,16
canva,15
ebay,14
xbox,14
adidas,12
google,12
flowers,12
canvas,11
james avery,11
lululemon,10
discount tire,10
etsy,10
dillards,10

RISING
shop holiday gift sets,"+1,450%"
blink twice,"+1,200%"
playstation portal,+600%
flat white,+250%
jordan love,+160%
jellycat,+150%
asics,+80%
experian credit freeze,+80%
dicks sporting goods,+70%
stanton optical,+70%
daiso,+60%
mother's day,+60%
kurt geiger,+60%
canva,+50%
bitcoin price,+50%
essentials hoodie,+50%
tory burch sandals,+50%
costco business center,+40%
new balance,+40%
swarovski,+40%

