Category: Sports
TOP
football,100
nfl,85
cowboys,53
nba,49
baseball,26
dallas cowboys,24
olympics,22
mlb,19
texans,19
texas football,18
espn,18
rangers,17
mavericks,16
astros,16
ncaa,16
chiefs,15
college football,15
super bowl,14
sports,13
ufc,13
nfl games,12
mavs,11
49ers,11
nfl scores,11
texas rangers,10

RISING
medal count,Breakout
paralympics,Breakout
olympic medal count,Breakout
powerlifting paralympics 2024,Breakout
artistic gymnastics olympics,Breakout
wheelchair tennis paralympics 2024,Breakout
olympics schedule,Breakout
mike tyson vs jake paul,Breakout
artistic swimming olympics,"+4,650%"
copa america 2024,"+4,250%"
wheelchair basketball paralympics,"+4,150%"
mavs vs celtics,"+4,000%"
sport climbing combined olympics,"+3,900%"
ravens vs chiefs,"+3,850%"
nba playoffs 2024,"+3,750%"
2024 icc men’s t20 world cup,"+3,550%"
copa america,"+3,500%"
olympics 2024,"+3,450%"
t20 world cup 2024,"+3,350%"
gymnastics rings olympics,"+3,150%"
lions vs 49ers,"+3,000%"
conmebol copa america,"+3,000%"
athletics paralympics,"+2,850%"
dodgers vs yankees,"+2,800%"
ufc 300,"+2,800%"

