Category: Shopping
TOP
amazon,100
walmart,59
shoes,50
nike,31
target,25
costco,24
code,24
netflix,20
ebay,18
lego,15
apple,13
dresses,13
best buy,12
xbox,12
adidas,11
flowers,11
google,11
ring,11
etsy,10
canva,10
lululemon,9
nordstrom,9
macys,9
canvas,8
sams,8

RISING
playstation portal,+750%
flat white,+250%
connections,+250%
gamestop stock,+150%
adidas samba,+120%
asics,+90%
bitcoin price usd,+90%
kurt geiger,+80%
dicks sporting goods,+70%
canva,+50%
quince,+50%
chrome hearts,+50%
bitcoin price,+40%

