Category: News
TOP
weather,100
news,53
fox news,13
cnn,12
trump,12
election,11
weather tomorrow,9
stimulus,9
election results,8
forecast,8
dow,8
press herald,8
dow jones,7
portland press,7
portland press herald,7
bangor daily news,6
stimulus check,5
weather forecast,5
yahoo,4
accuweather,4
2020 election,4
google,3
cnn news,3
wgme,3
new york times,3

RISING
stimulus check,Breakout
wordle,Breakout
2020 election results,Breakout
stimulus,Breakout
local guide program,Breakout
election results #election2020,Breakout
new york times wordle,Breakout
stimulus checks,Breakout
nytimes wordle,Breakout
stimulus update,Breakout
second stimulus check,Breakout
maine stimulus check,Breakout
election results 2022,Breakout
ny times wordle,Breakout
severe thunderstorm warning,Breakout
2020 election,Breakout
fidium fiber,Breakout
severe thunderstorm watch,"+4,800%"
2nd stimulus check,"+3,750%"
lauren boebert,"+3,400%"
winter storm warning,"+2,900%"
presidential election 2020,"+2,100%"
georgia senate race,"+1,900%"
weather 10 days,"+1,600%"
irs,"+1,550%"

