Category: Shopping
TOP
amazon,100
walmart,71
ebay,22
netflix,21
target,19
white,16
nike,15
xbox,13
kohls,11
etsy,11
best buy,10
lego,10
old navy,10
flowers,9
google,9
tractor supply,8
sam's club,8
jcpenney,8
camera,7
craigslist,6
facebook,6
sams,6
ll bean,6
maine mall,5
nintendo,5

RISING
versant power,Breakout
xbox series x,Breakout
wordle,"+4,850%"
ps5,"+2,600%"
brian laundrie,"+2,550%"
apple cinemas saco,"+2,100%"
skims,"+1,450%"
uncut gems,"+1,300%"
gamestop stock,"+1,000%"
facebook marketplace,+800%
playstation 5,+800%
shein,+700%
facebook marketplace maine,+700%
cyberpunk 2077,+650%
canva,+550%
google lens,+350%
hoka shoes,+300%
cabela's,+250%
craigslist maine activity partners,+250%
rakuten,+250%
ugg slippers,+200%
kohl's,+200%
costco,+170%
antique stores near me,+160%
days jewelry,+150%

