Category: News
TOP
weather,100
news,39
election,12
trump,12
weather tomorrow,11
cnn,10
ny weather,10
fox news,9
stimulus,9
tiempo,8
dow,7
election results,7
dow jones,6
ny post,6
yahoo,5
stimulus check,5
clima,5
google,4
election 2020,4
new york weather,3
weather today,3
yahoo finance,3
weather forecast,3
nypost,3
weather hourly,3

RISING
stimulus check,Breakout
wordle,Breakout
election results 2020,Breakout
election results #election2020,Breakout
stimulus,Breakout
local guide program,Breakout
second stimulus,Breakout
stimulus update,Breakout
second stimulus check,Breakout
nytimes wordle,Breakout
irs stimulus check,Breakout
severe thunderstorm warning,Breakout
la casa de los famosos,Breakout
wordle new york times,Breakout
ny times wordle,Breakout
where's my stimulus,Breakout
election 2020,Breakout
stimulus check status,Breakout
stimulus check 2,Breakout
severe thunderstorm watch,"+4,700%"
cuomo press conference today,"+3,400%"
tiempo de mañana,"+2,600%"
presidential election 2020,"+2,550%"
georgia senate race,"+1,950%"
winter storm warning,"+1,350%"

