Category: Shopping
TOP
amazon,100
black,54
walmart,45
nike,43
white,33
target,31
macys,23
netflix,23
ebay,20
best buy,17
costco,15
adidas,15
apple,14
xbox,13
nordstrom,13
google,12
flowers,11
kohls,11
old navy,11
gucci,11
lego,10
optimum,10
etsy,9
zara,8
saks,8

RISING
xbox series x,Breakout
wordle,"+3,400%"
ps5,"+2,650%"
yeezy slides,"+2,000%"
essentials hoodie,"+1,900%"
dogecoin price,"+1,300%"
uncut gems,"+1,150%"
gamestop stock,+950%
playstation 5,+850%
local guide program,+800%
american dream mall,+800%
canva,+600%
shein,+550%
chrome hearts,+450%
doordash,+300%
rakuten,+300%
smoke shop near me,+250%
crocs,+200%
marshalls near me,+180%
ugg slippers,+180%
coach outlet,+170%
dmx,+150%
bloomingdale's,+140%
jordan 4,+140%
dollar general near me,+140%

