Category: Beauty & Fitness
TOP
hair,100
tattoo,35
nails,34
makeup,15
perfume,15
face,14
ulta,14
bath and body,13
bath body works,12
bath and body works,12
tattoos,12
haircut,11
hairstyles,9
haircuts,8
louis vuitton,8
sephora,7
nail salon,7
braids,7
planet fitness,7
walmart,6
amazon,6
exercise,6
curly hair,5
dior,4
barber shop,4

RISING
rare beauty,Breakout
marc jacobs tote bag,"+4,200%"
fire kirin,"+4,050%"
edgar haircut,"+2,950%"
wordle,"+2,600%"
carin leon,"+2,050%"
ipl 2024,"+1,700%"
soap 2 day,"+1,700%"
ozempic for weight loss,"+1,450%"
creed 3,"+1,350%"
ipl 2022,"+1,250%"
valentino perfume,"+1,150%"
butterfly haircut,+950%
shein,+850%
goli,+750%
manscaped,+650%
luvme hair,+550%
the ordinary,+550%
nate bargatze,+550%
olaplex shampoo,+500%
jean paul gaultier,+450%
la roche posay,+450%
vivienne westwood,+400%
red mountain weight loss,+350%
cerave,+350%

