Category: Beauty & Fitness
TOP
hair,100
nails,33
tattoo,33
fitness,23
face,16
makeup,15
yoga,13
ulta,12
perfume,11
tattoos,10
bath and body,10
bath and body works,9
haircut,9
hairstyles,9
gym,8
weight loss,8
nail salon,7
sephora,7
planet fitness,7
amazon,6
louis vuitton,6
exercise,5
curly hair,5
walmart,5
barber shop,5

RISING
wordle,"+3,900%"
fire kirin,"+3,450%"
marc jacobs tote bag,"+3,000%"
esporta fitness,"+2,100%"
curtain bangs,"+1,900%"
edgar haircut,"+1,350%"
creed 3,"+1,000%"
shein,+750%
valentino perfume,+750%
manscaped,+700%
sea moss,+650%
chatgpt,+650%
lume deodorant,+550%
polestar,+550%
the ordinary,+450%
la roche posay,+350%
low taper fade,+350%
dior sauvage,+300%
affirm,+250%
cerave,+250%
bath and body works near me,+200%
thrive cosmetics,+200%
olaplex,+200%
alo yoga,+200%
dior,+200%

