Category: Shopping
TOP
amazon,100
walmart,80
shoes,50
black,39
target,30
nike,29
white,24
netflix,23
costco,23
ebay,19
best buy,18
xbox,14
macys,12
apple,12
google,12
kohls,12
nordstrom,11
etsy,10
lego,10
flowers,9
adidas,9
old navy,9
ring,9
canvas,9
camera,8

RISING
xbox series x,Breakout
wordle,"+3,000%"
ps5,"+2,750%"
yeezy slides,"+1,900%"
skims,"+1,750%"
essentials hoodie,"+1,550%"
on cloud shoes,"+1,300%"
chumba,"+1,300%"
dogecoin price,"+1,300%"
apple music replay,"+1,100%"
hey dude shoes,"+1,100%"
gamestop stock,+850%
playstation 5,+850%
shein,+850%
local guide program,+800%
facebook marketplace,+700%
canva,+550%
chadwick boseman,+350%
stockx,+300%
crocs,+300%
ugg slippers,+300%
vanilla gift card,+250%
canvas login,+190%
coach outlet,+180%
dmx,+180%

