Category: Beauty & Fitness
TOP
nails,100
yoga,66
face,53
makeup,40
tattoos,32
ulta,32
planet fitness,31
haircut,31
sephora,24
nail salon,18
wabi,18
walmart,18
bath and body,18
amazon,16
bath and body works,16
pilates,14
treadmill,13
weather,12
youtube,12
supercuts,11
calculator,11
google,11
facebook,10
target,9
news,8

RISING
longlegs,Breakout
paige bueckers,"+3,550%"
blowout taper,"+1,300%"
ingrid andress,"+1,100%"
sydney mclaughlin-levrone,+750%
shop fenty lipstick on sale,+650%
long legs,+500%
connections,+450%
jean paul gaultier,+450%
low taper fade,+350%
kaos,+300%
kirin waterboro,+250%
costco,+200%
fog products,+190%
marin skincare,+110%
kristin cavallari,+110%
miller fitness,+100%
laura geller,+90%
bubble skincare,+80%
vassalboro town office,+70%
shapleigh town hall,+70%
town of fairfield maine,+70%
nyt tiles,+70%
weight loss medication,+70%
tangled,+50%

