Category: Sports
TOP
nfl,100
celtics,71
football,61
red sox,58
nba,56
bruins,52
patriots,43
mlb,31
olympics,28
nhl,25
espn,22
news,20
nfl scores,20
ncaa,19
sports,17
boston bruins,14
yankees,14
boston celtics,14
super bowl,13
chiefs,12
ufc,12
nfl schedule,12
nascar,12
nfl games,11
boston red sox,11

RISING
medal count,Breakout
olympic medal count,Breakout
paralympics,Breakout
powerlifting paralympics 2024,Breakout
indiana fever,Breakout
mike tyson vs jake paul,"+5,000%"
artistic swimming olympics,"+4,500%"
wheelchair tennis paralympics 2024,"+4,300%"
artistic gymnastics olympics,"+4,000%"
us open tennis 2024,"+4,000%"
copa america,"+3,800%"
breaking olympics 2024,"+3,400%"
olympics 2024,"+3,400%"
wimbledon 2024,"+3,250%"
copa america 2024,"+3,250%"
gymnastics rings olympics,"+3,050%"
sport climbing combined olympics,"+3,000%"
conmebol copa america,"+2,950%"
chiefs vs ravens,"+2,750%"
2024 icc men’s t20 world cup,"+2,500%"
archery paralympics,"+2,400%"
athletics paralympics,"+2,350%"
surfing olympics,"+2,150%"
tour de france 2024,"+2,150%"
super bowl 2024,"+1,850%"

