Category: Beauty & Fitness
TOP
nails,100
fitness,80
yoga,70
face,58
hair salon,38
planet fitness,33
ulta,32
wabi,29
hairstyles,26
walmart,24
bath and body,23
amazon,23
bath and body works,22
barber shop,21
sephora,21
weather,16
supercuts,16
youtube,14
treadmill,14
blonde hair,14
google,13
facebook,13
calculator,12
crossfit,10
salons near me,10

RISING
wordle,Breakout
miss rachel,"+3,050%"
rare beauty,"+2,600%"
heatable,"+1,950%"
sevens barbershop,"+1,850%"
ozempic for weight loss,"+1,750%"
dark harbor barber,"+1,400%"
foleys fitness,"+1,300%"
portland yoga collective,"+1,150%"
facebook marketplace,"+1,100%"
allure nails,"+1,000%"
sabaidee thai,"+1,000%"
nate bargatze,+800%
dark harbor tattoo,+650%
apollo barbers,+550%
shein,+550%
scott's recreation turner maine,+550%
manscaped,+500%
lume deodorant,+450%
peloton,+400%
peloton treadmill,+400%
true north tattoo,+350%
thrive cosmetics,+350%
peel and stick wallpaper,+300%
great clips,+300%

