Category: Hobbies & Leisure
TOP
dog,100
lottery,50
cat,47
dogs,44
maine lottery,43
christmas,41
maine state lottery,28
cats,24
fish,22
powerball,18
flowers,16
puppies,15
mega millions,13
amazon,12
walmart,11
google,11
halloween,10
kayak,10
camera,10
facebook,10
powerball numbers,10
weather,9
petco,9
snake,8
youtube,8

RISING
chat gpt,Breakout
coronavirus,Breakout
coronavirus symptoms,Breakout
wordle,Breakout
peacock tv,"+2,800%"
easter 2022,"+2,400%"
easter 2023,"+2,200%"
recreational dispensary near me,"+2,100%"
infinite craft,"+2,050%"
mother's day 2021,"+1,900%"
peacock login,"+1,800%"
local guide program,"+1,750%"
tiger king,"+1,650%"
thanksgiving 2022,"+1,650%"
father's day 2021,"+1,400%"
mandalorian,"+1,200%"
memorial day 2021,"+1,100%"
pit vipers,"+1,100%"
bird and co,"+1,050%"
labor day 2023,+900%
knives out,+850%
facebook marketplace,+800%
thanksgiving 2024,+800%
the mandalorian,+750%
travis kelce,+700%

