Category: Food & Drink
TOP
pizza,100
food,65
restaurants,62
hannaford,43
food near me,27
cookies,23
ice cream,21
dunkin,20
restaurants near me,19
house of pizza,16
dominos,16
mcdonald's,15
shaws,15
starbucks,12
dunkin donuts,10
subway,10
mcdonalds,10
market basket,8
chipotle,8
taco bell,8
walmart,7
pizza near me,7
olive garden,7
pizza hut,7
dairy queen,7

RISING
baltimore bridge,"+2,650%"
celebrating chilaquiles,"+2,100%"
wonka,+400%
connections,+300%
zu bakery,+250%
whiskey myers,+90%
bread and friends,+90%
sunrise bagel,+80%
the pizza edition,+80%
little caesars near me,+70%
terlingua portland,+60%
chick fil a near me,+60%
norimoto bakery,+60%
brandy melville,+40%

