Category: Shopping
TOP
amazon,100
netflix,39
nike,38
canva,27
adidas,24
walmart,23
white,19
google,19
ebay,17
boots,16
gold,16
lego,16
zara,15
costco,11
oppo,11
xbox,11
camera,10
youtube,10
target,9
decathlon,8
hoodie,8
black friday,8
jordan,8
mercado libre,8
puma,7

RISING
samsung a55,"+1,650%"
krea ai,"+1,150%"
copilot,+600%
joya 9,+600%
npci,+400%
flat white,+250%
the gentlemen,+200%
temu,+180%
reacher,+170%
wind breaker,+120%
black friday 2023,+110%
adidas samba,+110%
srh vs rr,+100%
chatgpt,+90%
canva,+80%
dicks sporting goods,+60%
poppy playtime,+50%
asics,+50%
chat gpt,+50%
bitcoin price usd,+50%

