Category: Beauty & Fitness
TOP
face,100
nails,85
estee lauder,78
shampoo,52
mac cosmetics,48
sephora,34
gym,32
ulta,28
tattoos,26
bath and body,25
hairstyles,25
louis vuitton,24
nail salon,23
haircut,23
bobbi brown,23
bath and body works,22
amazon,21
planet fitness,18
dior,18
soap,17
skincare,16
fashion nova,16
cologne,15
barber shop,14
chanel,13

RISING
wordle,"+2,900%"
rare beauty,"+2,500%"
marc jacobs tote bag,"+1,800%"
esporta fitness,"+1,200%"
ipl 2023,"+1,000%"
mac cosmetics,+950%
local guide program,+900%
estee lauder,+800%
shein,+500%
knotless box braids,+450%
paige bueckers,+450%
manscaped,+450%
bobbi brown,+400%
valentino perfume,+350%
bathhouse,+250%
pilates near me,+250%
the ordinary,+250%
cerave cleanser,+200%
peel and stick wallpaper,+200%
laneige lip mask,+190%
alo yoga,+190%
dior sauvage,+160%
peloton,+160%
van cleef,+150%
cerave moisturizing cream,+150%

