Category: Sports
TOP
nfl,100
nba,93
basketball,57
yankees,56
mlb,49
mets,42
bills,34
espn,31
news,28
knicks,27
nhl,26
sports,26
buffalo bills,23
giants,22
world cup,22
nfl scores,21
rangers,18
jets,17
ufc,16
time,16
tennis,16
nba scores,15
mlb scores,15
super bowl,14
premier league,14

RISING
wordle,Breakout
super bowl 2023,Breakout
jujutsu kaisen,Breakout
super bowl 2022,Breakout
super bowl 2021,"+4,600%"
world cup 2022,"+3,450%"
fifa world cup 2022,"+2,250%"
world cup qatar 2022,"+1,850%"
ny.gov id,+550%
espn plus,+350%
bills game,+350%
mets game today,+300%
suns,+300%
yankees game today,+300%
patrick mahomes,+300%
josh allen,+300%
stefon diggs,+300%
nba games today,+250%
mlb games,+250%
tampa bay buccaneers,+250%
nba games,+200%
wnba,+200%
man city,+200%
nfl games today,+200%
f1,+180%

